Nr. linie,Cod de comandă,Conform cu RoHS?,Nr. de piesă al dvs.,Note,Cantitate,Număr de reper producător,Nume producător,Producător / Descriere,Disponibilitate,Preţ unitar,Prețul liniei,Preţ redus
1,3639722,RoHS: YES / FTALAŢI: YES,,,5.0,"0603DC-36NXJRW",COILCRAFT,"COILCRAFT  Wirewound Inductor, AEC-Q200, 36 nH, 0.134 ohm, 2.35 GHz, 1.49 A, 0603DC Series",1750,2.7200,13.60,,
2,3639723,RoHS: YES / FTALAŢI: YES,,,5.0,"0603DC-39NXJRW",COILCRAFT,"COILCRAFT  Wirewound Inductor, AEC-Q200, 39 nH, 0.163 ohm, 2.15 GHz, 1.35 A, 0603DC Series",1998,2.7200,13.60,,
3,3639737,RoHS: YES / FTALAŢI: YES,,,5.0,"0603DC-R13XJRW",COILCRAFT,"COILCRAFT  Wirewound Inductor, AEC-Q200, 130 nH, 0.804 ohm, 1.15 GHz, 590 mA, 0603DC Series",1895,2.7200,13.60,,
4,2286384,RoHS: Y-EX / FTALAŢI: YES,,,5.0,"0805CS-241XGLB",COILCRAFT,"COILCRAFT  Wirewound Inductor, 240 nH, 1 ohm, 770 MHz, 350 mA, 0805 [2012 Metric], 0805CS Series",1800,5.1000,25.50,,
5,2496884,RoHS: YES / FTALAŢI: YES,,,10.0,"0603N120J500CT",WALSIN,"WALSIN  SMD Multilayer Ceramic Capacitor, 12 pF, 50 V, 0603 [1608 Metric], ± 5%, C0G / NP0",34372,0.0900,0.90,,
6,2533823,RoHS: YES / FTALAŢI: YES,,,10.0,"885012006004",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  SMD Multilayer Ceramic Capacitor, 22 pF, 10 V, 0603 [1608 Metric], ± 5%, C0G / NP0, WCAP-CSGP",7891,0.1200,1.20,,
7,2904780,RoHS: YES / FTALAŢI: YES,,,10.0,"C0603C750J5GACAUTO",KEMET,"KEMET  SMD Multilayer Ceramic Capacitor, 75 pF, 50 V, 0603 [1608 Metric], ± 5%, C0G / NP0",5737,0.3800,3.80,,
8,1759065,RoHS: YES / FTALAŢI: YES,,,10.0,"MC0603N820J500CT",MULTICOMP PRO,"MULTICOMP PRO  SMD Multilayer Ceramic Capacitor, 82 pF, 50 V, 0603 [1608 Metric], ± 5%, C0G / NP0, MC",14839,0.1600,1.60,,

,,,,,,,Subtotal,73.80
,,,,,,,Total mărfuri,73.80
,,,,,,,Livrare,30.00
,,,,,,,TVA,19.72
,,,,,,,Total,123.52
